File	Name	Slot	Script
c#knig01	Lady Eleiana	Slot 608	agrandsw
c#knig02	Lady Tebena	Slot 608	agrandbr
c#knig03	Lady Uria	Slot 608	agrandrb
c#knig04	Lady Kayla	Slot 608	agrandrb
c#knig05	Sir Dalahn	Slot 608	agrandbr
c#knig06	Sir Mahlam	Slot 592	agrandrb
c#knig07	Squire Roman	Slot 608	agrandrb
c#q01004	Tulbor	Slot 592	agrandrb
c#q04002	Baby Wyvern	Slot 592	agrandbr
c#q06002	Zombie	Slot 592	agrandbr
c#ryan	Sir Paritin	Slot 600	agrandbr
c#sbabol	Aboleth	Slot 592	agrandbr
c#sbdrc1	Drow	Slot 592	agrandrb
c#sbdrc2	Drow	Slot 592	agrandbr
c#sbdrf0	Drow	Slot 592	agrandbr
c#sbdrf1	Drow	Slot 592	agrandrb
c#sbdrf2	Drow	Slot 592	agrandbr
c#sbdrf3	Drow	Slot 592	agrandrb
c#sbdrf4	Drow	Slot 592	agrandrb
c#sbdrf5	Drow	Slot 592	agrandbr
c#sbdrf6	Drow	Slot 592	agrandbr
c#sbdrf7	Drow	Slot 592	agrandbr
c#sbdrf8	Drow	Slot 592	agrandbr
c#sbdrf9	Drow	Slot 592	agrandbr
c#sbdrm1	Drow	Slot 592	agrandbr
c#sbdrm2	Drow	Slot 592	agrandrb
c#sbdrm3	Drow	Slot 592	agrandbr
c#sbdrm4	Drow	Slot 592	agrandbr
c#sbduer	Duergar	Slot 592	agrandbr
c6bguard	Guard	Slot 592	agrandrb
c6bodhi	Bodhi	Slot 608	agrandbr
c6cler1	Cleric Of Lathander	Slot 592	agrandbr
c6cler2	Cleric Of Helm	Slot 592	agrandsw
c6cler3	Cleric Of Talos	Slot 592	agrandbr
c6del	Del	Slot 600	agrandrb
c6drow1	Drow	Slot 592	agrandrb
c6drow2	Drow	Slot 592	agrandrb
c6elf1	Elven Warrior	Slot 600	agrandbr
c6elhan	Elhan	Slot 600	agrandrb
c6elven2	Elven War Guard	Slot 608	agrandsh
c6elvenw	Elven War Guard	Slot 600	agrandbr
c6extr01	Elven Warrior	Slot 600	agrandrb
c6extr02	Elven Mage	Slot 600	agrandbr
c6extr03	Elven Warrior	Slot 600	agrandrb
c6extr04	Elven Mage	Slot 600	agrandrb
c6fake	Elhan	Slot 592	agrandrg
c6gener	General Sovalidaas	Slot 600	agrandrb
c6god	Elven God	Slot 592	agrandbr
c6harei	Hareishan	Slot 592	agrandrb
c6harp	Malchor Harpell	Slot 600	agrandrb
c6kach2	Kachiko	Slot 592	agrandlx
c6kngt1	Morning Knight	Slot 592	agrandbr
c6kngt2	Shield Knight	Slot 592	agrandrb
c6kngt3	Storm Knight	Slot 592	agrandrb
c6lanf	Lanfear	Slot 600	agrandrb
c6mere	Meredath	Slot 592	agrandbr
c6mess	Shadow Thief	Slot 600	agrandrb
c6salia	Salia	Slot 592	agrandbr
c6squire	Squire Cathras	Slot 600	agrandlx
c6tanov	Tanova	Slot 600	agrandrb
c6valen	Valen	Slot 600	agrandrb
c6vamp01	Fledgling Vampire	Slot 592	agrandrb
c6vflm01	Fledgling Vampire	Slot 584	agrandlx
c6were1	Wolfwere	Slot 584	agrandrb
c6were2	Wolfwere	Slot 600	agrandea
c6wulf	Wulfgar	Slot 592	agrandbr
cadril	Sir Cadril	Slot 608	agrandcl
caehan	Caehan	Slot 600	agrandrb
cailan	Statue	Slot 592	agrandrb
calaha	Calahan	Slot 592	agrandbr
caligen1	Noble Efreeti	Slot 592	agrandbr
caligen2	Efreeti	Slot 592	agrandea
caligen3	Noble Djinni	Slot 592	agrandcl
calimart	Giblan	Slot 592	agrandsr
caliprig	Arabic Thug	Slot 592	agrandrb
calistel	Store Guard	Slot 608	agrandrb
calitemp	Priest of Waukeen	Slot 592	agrandbr
calithug	Arabic Thug	Slot 592	agrandbr
caliwolf	Wererat	Slot 584	agrandbr
calmeet1	Arab	Slot 584	agrandbr
calshop1	Trader	Slot 584	agrandbr
calshop2	Trader	Slot 584	agrandbr
cambion2	Cambion	Slot 592	agrandrp
camitis	Camitis	Slot 592	agrandbr
candx01	Brother Masoj	Slot 592	agrandbr
candx02	Brother Haunnas	Slot 592	agrandrb
candx03	Brother Entris	Slot 592	agrandbr
candx04	Brother Canidez	Slot 592	agrandrb
candx05	Brother Eviane	Slot 592	agrandbr
candx06	Brother Thael	Slot 592	agrandrb
candx07	Brother Alden	Slot 592	agrandbr
carbos	Carbos	Slot 600	agrandbr
cavdrow1	Drow	Slot 592	agrandbr
cavdrow2	Drow	Slot 584	agrandrb
cavdrow3	Drow	Slot 592	agrandbr
ccguard1	Copper Coronet Guard	Slot 592	agrandrb
ccguard2	Copper Coronet Guard	Slot 592	agrandrb
cdtroll1	Troll	Slot 592	agrandbr
cdtroll2	Troll	Slot 592	agrandbr
cearwin	Cearwin	Slot 592	agrandrb
cechal02	Master Verthan	Slot 608	agrandrb
cechalle	Master Verthan	Slot 608	agrandbr
cedelich	Deril Lich	Slot 600	agrandrb
cederil	Deril	Slot 608	agrandbr
cedruid1	Pauden	Slot 592	agrandrb
cedruid2	Dalok	Slot 592	agrandrb
cefgt01	Adherent	Slot 608	agrandbr
cefgt02	Shadow Druid	Slot 608	agrandrb
cefgt03	Adherent	Slot 608	agrandbr
ceglut	Glut	Slot 592	agrandbr
ceigarol	Igarol	Slot 600	agrandrb
celich	Lagole Gon	Slot 600	agrandbr
celvan	Crazy Celvan	Slot 592	agrandbr
centeo01	Centeol	Slot 592	agrandbr
ceskel01	Skeleton Warrior	Slot 592	agrandrb
cguard1	Cultist Guard	Slot 600	agrandrb
cguard2	Cultist Guard	Slot 608	agrandrg
ch3grd01	Shadow Thief	Slot 592	agrandbr
ch3mag01	Shadow Thief	Slot 592	agrandrb
chak	Chak	Slot 592	agrandrb
chalcy01	Cyric	Slot 592	agrandbr
chalcy02	Favored of Cyric	Slot 592	agrandbr
chalslay	Slayer	Slot 592	agrandrb
chalsp01	Gavid	Slot 592	agrandbr
chaltrol	Giant Troll	Slot 608	agrandbr
chang01	Angelo	Slot 592	agrandbr
chang02	Angelo	Slot 592	agrandbr
chevil01	Kobold Commando	Slot 608	agrandbr
chevil02	Doppelganger	Slot 600	agrandrb
chevil03	Ogre Mage	Slot 600	agrandrb
chevil04	Sahuagin	Slot 600	agrandrb
chevil05	Gnoll Captain	Slot 600	agrandbr
chevil06	Drow Warrior	Slot 600	agrandbr
chevil07	Drow Priestess	Slot 600	agrandrb
chevil08	Bodhi	Slot 600	agrandbr
chgood04	Elven Warrior	Slot 600	agrandbr
chgood05	Elven Warrior	Slot 600	agrandrb
chgood06	Knight of the Order	Slot 600	agrandbr
chgood07	Duke Eltan	Slot 600	agrandrb
chgood08	Aran Linvail	Slot 608	agrandrb
chgood09	Ellesime	Slot 600	agrandrb
chsam01	Semaj	Slot 592	agrandbr
chsam02	Semaj	Slot 592	agrandrb
chtaz01	Tazok	Slot 592	agrandrb
chtaz02	Tamoko	Slot 592	agrandrb
chwraith	Child Spirit	Slot 592	agrandrb
cileen	Cileen	Slot 584	agrandbr
civfrus1	Jeremiah Jamtoes	Slot 592	agrandrb
civil03	Civil Servant	Slot 600	agrandrb
clcoti01	Cotirso	Slot 600	agrandbr
cldad	Talon Nirkhas	Slot 592	agrandrb
clelun01	Eluno	Slot 592	agrandbr
clgijj01	Gijjal of the House Malario	Slot 592	agrandnc
cllatp01	Dawnmistress	Slot 592	agrandrb
clmalg01	Malario Soldier	Slot 592	agrandbr
clone01	Escaped Clone	Slot 608	agrandrb
clone1	Escaped Clone	Slot 600	agrandbr
clrani01	Rania	Slot 592	agrandbr
clstkn01	Storm Knight	Slot 592	agrandbr
cltalp01	Weather Master	Slot 592	agrandrb
cltcut01	Cultist	Slot 600	agrandbr
cltcut02	Cultist	Slot 592	agrandbr
cltcut03	Elite Guard	Slot 592	agrandrb
cltiva01	Ti'Vael	Slot 592	agrandrp
cm02a514	Khan Noonian Singh	Slot 592	agrandsr
cm03a514	Quintus the Quick	Slot 600	agrandbr
cm04a514	Garak the Banelord	Slot 600	agrandbr
cm05a514	Gorth	Slot 592	agrandrp
cm1800a1	Black Talon Elite	Slot 600	agrandrb
cm1803a1	Black Talon Elite	Slot 600	agrandbr
cm1803a2	Black Talon Elite	Slot 600	agrandbr
cm1803a3	Dark Silvia	Slot 584	agrandrb
cm1803a4	Morgan	Slot 584	agrandrp
cm1a2100	Druid	Slot 600	agrandrb
cm2300a1	Caravan Guard	Slot 592	agrandrb
cm2300a2	Caravan Guard	Slot 592	agrandbr
cm2300a3	Caravan Guard	Slot 592	agrandbr
cm2a2100	Druid	Slot 600	agrandrb
cm330007	Morninglord	Slot 592	agrandbr
cm330008	Morninglord	Slot 592	agrandrb
cm3a2100	Selene	Slot 608	agrandbr
cmapoc1	Burning Dead	Slot 592	agrandrb
cmapoc2	Burning Dead	Slot 592	agrandbr
cmashiru	Ashirukuru	Slot 592	agrandrb
cmbou01	Zargos Flintblade	Slot 592	agrandbr
cmbou03	Malious	Slot 592	agrandbr
cmbou04	Phallen Nightsbane	Slot 592	agrandbr
cmbou05	Necardian	Slot 600	agrandrg
cmbou06	Isolde	Slot 592	agrandbr
cmbou07	Mendas	Slot 592	agrandrp
cmbou08	Garret	Slot 592	agrandrb
cmbou09	Allister	Slot 600	agrandea
cmbou10	Zara	Slot 592	agrandrb
cmbou11	Hilgaar	Slot 592	agrandrb
cmdrag	Dragon	Slot 592	agrandlx
cmdru02	Kieran	Slot 608	agrandbr
cmdru04	Druid	Slot 592	agrandbr
cmdru05	Druid	Slot 592	agrandrb
cmdru06	Druid	Slot 592	agrandrb
cmdru07	Druid	Slot 592	agrandrb
cmdry01	Crazy Dryad	Slot 600	agrandbr
cmelf01	Jhaeros Auglathla	Slot 600	agrandbr
cmelf02	Ygrainne Windstar	Slot 592	agrandrb
cmelf03	Elven Body Guard	Slot 600	agrandbr
cmelf04	Elven Body Guard	Slot 600	agrandbr
cmelf05	Elven Body Guard	Slot 600	agrandea
cmggo1	Goblin	Slot 592	agrandrb
cmggob1	Goblin	Slot 592	agrandrb
cmghau01	Greater Ghoul	Slot 592	agrandrb
cmghst01	Arch Mage Arias	Slot 600	agrandrb
cmghst02	Ghost Knight	Slot 592	agrandsr
cmghst03	Ghost Knight	Slot 592	agrandrb
cmghst04	Ghost Knight	Slot 592	agrandbr
cmghst05	Anton Valor	Slot 584	agrandbr
cmghst06	Garrett	Slot 584	agrandbr
cmghst07	Synthia Malivore	Slot 584	agrandrb
cmghst08	Arch Mage Natas	Slot 584	agrandrb
cmgnol01	Gnoll Clan Leader	Slot 592	agrandsw
cmgnol02	Gnoll Clan Guard	Slot 592	agrandrb
cmgnol03	Gnoll Elite Warrior	Slot 592	agrandrb
cmgnol04	Gnoll Veteran Warrior	Slot 592	agrandnc
cmhob01	Hobgoblin	Slot 592	agrandsh
cmhob02	Hobgoblin Elite	Slot 592	agrandbr
cmhob03	Hobgoblin General	Slot 592	agrandsw
cmirone	Black Talon General	Slot 600	agrandrb
cmkob01	Kobold	Slot 592	agrandnc
cmkob02	Kobold Clan Leader	Slot 592	agrandrb
cmkob03	Kobold Witch Doctor	Slot 592	agrandbr
cmmagnu	Magnus	Slot 600	agrandbr
cmmystr	Ratava Artsym	Slot 592	agrandbr
cmnajar2	Guard	Slot 592	agrandbr
cmnajar4	Guard	Slot 592	agrandrb
cmogrem1	Ogre Mage	Slot 592	agrandbr
cmosec01	Oversight Guard	Slot 592	agrandrb
cmosec02	Oversight Guard	Slot 592	agrandbr
cmosec03	Oversight Priest	Slot 608	agrandrb
cmosec04	Oversight War Wizard	Slot 608	agrandrb
cmosec05	Oversight Elite	Slot 592	agrandrb
cmosec06	Oversight Elite	Slot 592	agrandrg
cmosec07	Oversight Elite	Slot 592	agrandsh
cmosec08	Oversight Bard	Slot 600	agrandbr
cmosec09	Oversight Priest	Slot 600	agrandrb
cmosec10	Torture Twin	Slot 592	agrandrb
cmosec11	Torture Twin	Slot 600	agrandrb
cmosec13	Oversight War Wizard	Slot 608	agrandbr
cmosec14	Oversight War Wizard	Slot 608	agrandrb
cmosec15	Oversight Guard	Slot 592	agrandrb
cmosec16	Oversight Guard	Slot 592	agrandbr
cmrwiz02	Erica	Slot 600	agrandrb
cmrwiz03	Jeneik	Slot 600	agrandbr
cmsec01	Paul Wolfe	Slot 600	agrandrb
cmsec02	Nikita	Slot 592	agrandrb
cmsec03	Madeline	Slot 592	agrandbr
cmsec04	Michael Samuelle	Slot 592	agrandrb
cmsec05	Quinn	Slot 592	agrandbr
cmsec06	Davenport	Slot 592	agrandcl
cmsec07	Andrea	Slot 608	agrandrb
cmsec08	George	Slot 592	agrandbr
cmsec08a	George	Slot 608	agrandrb
cmsec10	Section Operative	Slot 608	agrandea
cmsec10a	Section Operative	Slot 608	agrandrb
cmsec10b	Section Operative	Slot 608	agrandbr
cmsec10c	Section Operative	Slot 608	agrandrb
cmsec11	Section Operative	Slot 592	agrandrb
cmsec12	Section Operative	Slot 592	agrandbr
cmsec12a	Section Elite	Slot 608	agrandbr
cmsec12b	Section Operative	Slot 592	agrandbr
cmsec12c	Section Operative	Slot 592	agrandrb
cmsec12d	Section Operative	Slot 592	agrandbr
cmsec13	Section Operative	Slot 592	agrandrb
cmsec14	Section Elite	Slot 592	agrandbr
cmsec14a	Section Elite	Slot 592	agrandrb
cmsec14b	Section Elite	Slot 592	agrandcl
cmsec15	Section Operative	Slot 592	agrandrb
cmsec16	Section Operative	Slot 592	agrandbr
cmsec17	Section Operative	Slot 592	agrandbr
cmsec18	Section Operative	Slot 592	agrandbr
cmsec19	Section Elite	Slot 608	agrandrb
cmsec20	Section Operative	Slot 584	agrandbr
cmsec20a	Section Operative	Slot 608	agrandrb
cmsec21	Lillian Darkwater	Slot 584	agrandrb
cmsec22	Section Operative	Slot 608	agrandbr
cmsec23	Section Operative	Slot 592	agrandsr
cmsec24	Section Elite	Slot 592	agrandbr
cmsec25	Section Elite	Slot 592	agrandrb
cmske01	Skeleton	Slot 592	agrandbr
cmske02	Skeleton	Slot 592	agrandrp
cmske03	Skeleton	Slot 592	agrandcl
cmske04	Skeleton	Slot 592	agrandbr
cmskel01	Skeleton Warrior	Slot 592	agrandbr
cmskel02	Skeleton Warrior	Slot 592	agrandsh
cmskel03	Death Knight	Slot 584	agrandrb
cmskel04	Death Knight	Slot 584	agrandbr
cmwyba	Baby Wyvern	Slot 592	agrandcl
cmwybi1	Beren	Slot 592	agrandrb
cmwybi2	Luthian	Slot 592	agrandrb
cohnta	Cohn Ta'glaen	Slot 592	agrandea
cohrvale	Cohrvale	Slot 600	agrandrb
copamb01	Gladiator	Slot 592	agrandbr
copamb02	Copper Coronet Guard	Slot 592	agrandbr
copamb03	Gladiator	Slot 592	agrandnc
copamb04	Gladiator	Slot 592	agrandrb
copamb05	Copper Coronet Guard	Slot 592	agrandrb
copcust3	Nobleman	Slot 592	agrandbr
copgreet	Frankie	Slot 608	agrandsr
cor	Cor Delryn	Slot 592	agrandrb
corgeig	Corgeig Axehand	Slot 592	agrandrb
corneil	Corneil	Slot 592	agrandbr
counsec	Council Secretary Ewenn	Slot 600	agrandsr
cowenf02	Cowled Enforcer	Slot 608	agrandbr
cowenf1	Cowled Enforcer	Slot 608	agrandbr
cowenf3	Cowled Enforcer	Slot 608	agrandbr
cowenf4	Cowled Enforcer	Slot 608	agrandrb
cowld	Cowled Wizard	Slot 600	agrandrb
cowled	Cowled Wizard	Slot 592	agrandbr
cowled01	Cowled Wizard	Slot 600	agrandbr
cragmoon	Mrs. Cragmoon	Slot 600	agrandbr
c-renal	Renal	Slot 600	agrandrb
crothf01	Tiiro	Slot 592	agrandrb
crothf02	Aulava	Slot 592	agrandrb
cscleric	Dawnmaster Kreel	Slot 600	agrandbr
cscowl1	Cowled Wizard	Slot 592	agrandbr
cscowl2	Cowled Wizard	Slot 592	agrandsr
cscowl3	Cowled Wizard	Slot 592	agrandrb
cscowl4	Cowled Wizard	Slot 592	agrandbr
cscowl5	Cowled Wizard	Slot 592	agrandrb
cscowl6	Cowled Wizard	Slot 592	agrandbr
cscowl7	Cowled Wizard	Slot 592	agrandrb
cscowl8	Cowled Wizard	Slot 592	agrandcl
cscowl9	Cowled Wizard	Slot 592	agrandbr
csgaal	Gaal	Slot 608	agrandrb
csgayl	Assassin	Slot 592	agrandrb
csiren	Mage	Slot 592	agrandrb
csjon	Mage	Slot 592	agrandcl
csthief1	Assassin	Slot 592	agrandrb
csthief2	Assassin	Slot 592	agrandrb
csthief3	Assassin	Slot 592	agrandbr
csthief4	Assassin	Slot 592	agrandea
ctraitor	Tad	Slot 608	agrandsh
cuardul	Matron Mother Ardulace	Slot 592	agrandbr
cubodhi	Bodhi	Slot 592	agrandbr
cucow1	Cowled Enforcer	Slot 592	agrandrb
cucow2	Cowled Enforcer	Slot 592	agrandrb
cucow3	Cowled Enforcer	Slot 592	agrandrg
cuguard	Baragh	Slot 592	agrandrb
cultbh1	Gauth	Slot 592	agrandrb
cultbh2	Gauth	Slot 592	agrandnc
cultbh3	Beholder	Slot 592	agrandbr
cultbh4	Spectator	Slot 592	agrandrb
cultist1	Cultist	Slot 600	agrandlx
cultist2	Cultist	Slot 600	agrandbr
cupris1	Elven Warrior	Slot 592	agrandrb
cupris2	Elven Warrior	Slot 592	agrandbr
cushad1	Shadow Thief	Slot 592	agrandbr
cushad2	Shadow Thief	Slot 592	agrandbr
cushad3	Shadow Thief	Slot 592	agrandrb
cushad4	Shadow Thief	Slot 592	agrandbr
cushad5	Shadow Thief	Slot 592	agrandbr
cushad6	Shadow Thief	Slot 592	agrandrb
cutamfig	Fighter	Slot 584	agrandrg
cutamgrd	Monk	Slot 592	agrandrb
cutammag	Mage	Slot 592	agrandrb
cutbalth	Balthazar	Slot 592	agrandnc
cutgrd01	Monk	Slot 592	agrandbr
cutgrd02	Monk	Slot 592	agrandbr
cutgrd03	Monk	Slot 592	agrandbr
cutgrd04	Monk	Slot 592	agrandbr
cutmelis	Melissan	Slot 592	agrandrb
cuwiz1	Cowled Enforcer	Slot 592	agrandrp
cuwiz2	Cowled Enforcer	Slot 592	agrandrb
cuwiz3	Cowled Enforcer	Slot 592	agrandbr
cuwiz4	Cowled Enforcer	Slot 592	agrandbr
cuwiz5	Cowled Enforcer	Slot 592	agrandrb
cuwiz6	Cowled Enforcer	Slot 592	agrandbr
cuwizc	Cowled Enforcer	Slot 592	agrandbr
cuwizsu	Cowled Enforcer	Slot 592	agrandbr
cyc01	Cyclops	Slot 592	agrandrb
cyccali1	Cyclops	Slot 592	agrandrb
cyccali2	Cyclops	Slot 592	agrandbr
cyccali3	Cyclops	Slot 592	agrandrb
cyrando	Cyrando	Slot 592	agrandbr
cythan	Cythandria	Slot 608	agrandrb
d1ghost	Alianna	Slot 592	agrandbr
d1mothdw	Alianna	Slot 592	agrandrb
d1mothel	Alianna	Slot 592	agrandrb
d1mothha	Alianna	Slot 592	agrandlx
d1mothhu	Alianna	Slot 592	agrandrb
d2fue	Fuernebol	Slot 608	agrandbr
daabol	Aboleth	Slot 592	agrandsw
dadrow1	Drow Servant	Slot 600	agrandrb
dadrow10	Drow Torturer	Slot 600	agrandrb
dadrow11	Drow Torturer	Slot 592	agrandrb
dadrow12	Overseer Handmaiden	Slot 608	agrandrb
dadrow13	Drow	Slot 592	agrandbr
dadrow14	Drow	Slot 600	agrandbr
dadrow15	Drow	Slot 592	agrandrb
dadrow16	Drow	Slot 600	agrandrb
dadrow17	Taso Kala	Slot 600	agrandbr
dadrow18	Spelljammer Drow	Slot 600	agrandrb
dadrow19	Drow	Slot 600	agrandbr
dadrow2	Drow Servant	Slot 600	agrandbr
dadrow21	Drow	Slot 592	agrandrb
dadrow22	Drow	Slot 592	agrandbr
dadrow23	Drow	Slot 600	agrandbr
dadrow24	Drow	Slot 592	agrandrb
dadrow25	Drow	Slot 592	agrandrb
dadrow26	Drow	Slot 600	agrandbr
dadrow3	Drow Slave Trader	Slot 592	agrandbr
dadrow4	Drow Priestess	Slot 592	agrandbr
dadrow5	Drow	Slot 608	agrandrb
dadrow7	Drow	Slot 600	agrandrb
dadrow8	Drow Torturer	Slot 600	agrandbr
dadrow9	Drow Torturer	Slot 600	agrandrb
daduer1	Duergar	Slot 592	agrandbr
daduer2	Duergar	Slot 608	agrandrp
daduer3	Duergar	Slot 600	agrandbr
daduer4	Duergar	Slot 592	agrandrb
dadwarf	Dwarf	Slot 600	agrandrb
daelf	Elven Mage	Slot 600	agrandrb
daelf2	Elven Mage	Slot 600	agrandrb
dagenie	Dola Fadoon	Slot 600	agrandnc
daghaun1	Ghaunadaur Priest Leader	Slot 592	agrandrb
daghaun2	Ghaunadaur Priest	Slot 592	agrandrb
dagith1	Githyanki Captain	Slot 600	agrandrb
dagith2	Githyanki	Slot 600	agrandbr
dagmag01	Relonar	Slot 592	agrandbr
dagnoll	Gnoll	Slot 592	agrandrb
daitel	Ghost	Slot 592	agrandbr
dakobold	Kobold	Slot 608	agrandbr
damind1	Mind Flayer	Slot 592	agrandbr
damind2	Mind Flayer	Slot 592	agrandrb
danno	Danno Fairfoot	Slot 592	agrandsw
daqilue	Qilue	Slot 600	agrandrb
dario	Dario Thet	Slot 592	agrandrb
dariogr1	Assassin Mage	Slot 584	agrandrb
dariogr2	Assassin Warrior	Slot 592	agrandrb
dariogr3	Assassin Warrior	Slot 592	agrandrb
dariogr4	Assassin Warrior	Slot 592	agrandbr
dariogr5	Assassin Warrior	Slot 592	agrandrp
darioms2	Calimport Messenger	Slot 592	agrandrb
dariomsg	Calimport Messenger	Slot 592	agrandnc
daslave1	Slave Leader	Slot 592	agrandbr
daslave3	Slave Boy	Slot 592	agrandrb
daslave4	Slave Girl	Slot 592	agrandbr
daspitro	Spirit Troll	Slot 592	agrandrp
dassin	Shadow Thief	Slot 584	agrandrb
datroll	Troll	Slot 592	agrandbr
daumber	Umber Hulk	Slot 592	agrandrb
dawnmas	Dawnmaster Kreel	Slot 592	agrandbr
dbonef01	Bone Fiend	Slot 592	agrandbr
dcleric	Mad Cleric	Slot 592	agrandrb
dcowl1	Rayic Gethras	Slot 600	agrandbr
dd1700cl	Berun	Slot 592	agrandbr
dd1700fi	Giron	Slot 592	agrandbr
dd1700ra	Yulur	Slot 592	agrandrb
dd1700wi	Slurice	Slot 592	agrandrb
ddarnie	Arnie	Slot 592	agrandbr
ddassa01	Assassin of Cyric	Slot 592	agrandrb
ddassa02	Assassin of Cyric	Slot 592	agrandbr
ddbandi1	Soldier	Slot 592	agrandbr
ddbandi2	Soldier	Slot 592	agrandrb
ddbandi3	Soldier	Slot 592	agrandbr
ddblbl01	Black Blade Assassin	Slot 592	agrandrb
ddblbl02	Black Blade Assassin	Slot 592	agrandbr
ddcapt01	Captain	Slot 592	agrandbr
ddcrazy1	Manifest Lunatic	Slot 600	agrandbr
ddcyric2	Larala	Slot 592	agrandbr
ddcyric3	Larala	Slot 592	agrandrb
ddcyric4	Larala	Slot 592	agrandrb
ddfrost1	Frost Giant	Slot 592	agrandsr
ddgame01	Man	Slot 592	agrandbr
ddgame03	Venonocanes Staff	Slot 592	agrandbr
ddguar01	Guard	Slot 592	agrandcl
ddguard1	Guardian	Slot 592	agrandbr
ddguard2	Guardian	Slot 592	agrandea
ddguard3	Guardian	Slot 592	agrandrb
ddguard4	Guardian	Slot 592	agrandrb
ddguard5	Guardian	Slot 592	agrandbr
ddguard6	Guardian	Slot 592	agrandlx
ddhall01	Krent	Slot 592	agrandrb
ddmanarc	Manifest Archer	Slot 592	agrandrb
ddmanpea	Manifest Peasant	Slot 592	agrandrb
ddmansha	Manifest Shadow	Slot 592	agrandbr
ddmary	Mary Magus	Slot 592	agrandrb
ddogre01	Ogre	Slot 592	agrandrb
ddpkmap	Salesman	Slot 592	agrandrb
ddplota4	Manifest Shadow	Slot 592	agrandbr
ddplota5	Monster	Slot 600	agrandbr
ddpo05ab	Ranger	Slot 592	agrandrb
ddpoten1	Potencius	Slot 592	agrandrb
ddragbrw	Arrellaxerrontoal	Slot 592	agrandea
ddsold01	Soldier	Slot 592	agrandbr
ddsold02	Soldier	Slot 592	agrandrb
ddsold03	Soldier	Slot 592	agrandea
ddsold04	Soldier	Slot 592	agrandbr
ddsold06	Scout	Slot 592	agrandrb
ddspectr	Manifest Spectre	Slot 592	agrandrb
ddtempl1	Battle Cleric	Slot 592	agrandrb
ddtero01	Tero	Slot 600	agrandrb
ddtroll1	Troll	Slot 592	agrandrb
ddtroll2	Troll	Slot 592	agrandbr
ddwarp01	Elven Wizard	Slot 600	agrandrb
ddyolkum	Yolkum	Slot 592	agrandbr
ddyuan01	Yuan-Ti	Slot 592	agrandbr
ddyuan02	Greater Yuan-ti	Slot 592	agrandrb
ddyuan03	Yuan-Ti Mage	Slot 592	agrandbr
dead2	Amnian Soldier	Slot 592	agrandrb
deadb01	Adventurer	Slot 592	agrandbr
deadb02	Adventurer	Slot 592	agrandrb
deadb03	Adventurer	Slot 592	agrandrb
deadbeh1	Beholder	Slot 592	agrandrb
deadbeh2	Gauth	Slot 592	agrandrb
deaddem1	Cornugon	Slot 592	agrandbr
deaddem2	Quasit	Slot 592	agrandrb
deadfuck	Amnian Soldier	Slot 592	agrandbr
deathk1	Demon Knight	Slot 592	agrandbr
deathkni	Demon Knight	Slot 592	agrandbr
deck615	Demon Knight	Slot 592	agrandrb
deck622	Death Shade	Slot 592	agrandrb
deckass1	Thief	Slot 592	agrandrb
deckwar1	Fighter	Slot 592	agrandrb
dedsmug	Smuggler	Slot 608	agrandrb
degard	Degardan	Slot 608	agrandbr
del	Del	Slot 592	agrandbr
dellow	Del	Slot 592	agrandsh
delnob01	Nobleman	Slot 600	agrandrb
delryng1	Delryn Door Guard	Slot 608	agrandbr
delsvir	Delsvirftanyon	Slot 592	agrandbr
demabi01	Abishai	Slot 592	agrandbr
demcor01	Cornugon	Slot 592	agrandrb
demfig01	Falahar	Slot 600	agrandbr
demfig02	Valeria	Slot 608	agrandbr
demgla01	Glabrezu	Slot 592	agrandbr
demglab2	Glabrezu	Slot 592	agrandea
demgrdr1	Amnish Soldier	Slot 592	agrandrb
demgrdr2	Amnish Soldier	Slot 592	agrandbr
demgrdr3	Amnish Soldier	Slot 592	agrandrb
demgrdr4	Amnish Soldier	Slot 592	agrandsr
demgrdrx	Amnish Soldier	Slot 592	agrandlx
demilich	Demilich	Slot 584	agrandrb
demlord	Lesser Demon Lord	Slot 584	agrandbr
demmag	Dracandros	Slot 592	agrandrb
demmau01	Maurezhi	Slot 592	agrandrp
demnab02	Nabassu	Slot 592	agrandrg
demninv2	Barl	Slot 592	agrandbr
demninvi	Barl	Slot 592	agrandbr
demoarch	Fighter	Slot 600	agrandbr
democler	Cleric	Slot 600	agrandrb
demogor1	Imprisoned One	Slot 592	agrandbr
demogor2	Demogorgon	Slot 592	agrandnc
demosum1	Marilith	Slot 592	agrandbr
demosum2	Balor	Slot 592	agrandrb
demosum3	Glabrezu	Slot 592	agrandrb
dempit01	Pit Fiend	Slot 592	agrandbr
dempitr1	Pit Fiend	Slot 592	agrandbr
dempitr2	Pit Fiend	Slot 592	agrandrb
dempri	Pitre	Slot 592	agrandbr
demson	Sir William Reirrac	Slot 608	agrandrb
demsuc01	Succubus	Slot 592	agrandrb
deriny01	Erinyes	Slot 592	agrandrb
derrick	Derrick	Slot 592	agrandbr
deshar	Ferric Ironblade	Slot 608	agrandrb
devaevil	Fallen Deva	Slot 592	agrandbr
devagood	Deva	Slot 592	agrandrb
devast01	Astral Deva	Slot 592	agrandbr
devmon01	Monadic Deva	Slot 592	agrandbr
dgdru01	Druid	Slot 600	agrandbr
dgfig01	Fighter	Slot 592	agrandrb
dglab01	Glabrezu	Slot 592	agrandbr
